base_models,datasets,distance_lambdas,batch_sizes,embedding_sizes,validation_sizes,epochs,batchnorm,dropout,optimizers,learning_rates,test_accuracy,duration
DF,data,L1,128,128,0.1,50,False,True,Adam,6e-05,0.7990654205607477,257.17053985595703
DF,data,L1,128,128,0.2,50,False,True,Adam,6e-05,0.7827102803738317,236.36897325515747
DF,data,L1,128,128,0.1,50,False,True,Adagrad,0.01,0.7920560747663551,297.34667801856995
DF,data,L1,128,128,0.1,50,False,True,Adagrad,0.001,0.7686915887850467,130.07097744941711
DF,data,L1,128,128,0.2,50,False,True,Adagrad,0.01,0.7710280373831776,281.96526527404785
DF,data,L1,128,128,0.2,50,False,True,Adagrad,0.001,0.780373831775701,390.04074597358704
DF,data,L1,128,128,0.1,50,False,True,RMSprop,0.1,0.5116822429906542,145.42690348625183
DF,data,L1,128,128,0.1,50,False,True,RMSprop,0.01,0.4883177570093458,33.857176303863525
DF,data,L1,128,128,0.2,50,False,True,RMSprop,0.1,0.5116822429906542,58.041627645492554
DF,data,L1,128,128,0.2,50,False,True,RMSprop,0.01,0.5116822429906542,256.0736644268036
DF,data,L1,128,128,0.1,50,False,True,SGD,0.1,0.8107476635514018,165.17340278625488
DF,data,L1,128,128,0.1,50,False,True,SGD,0.01,0.7873831775700935,164.27769708633423
DF,data,L1,128,128,0.2,50,False,True,SGD,0.1,0.7593457943925234,128.3760747909546
DF,data,L1,128,128,0.2,50,False,True,SGD,0.01,0.7897196261682243,207.33112859725952
DF,data,L2,128,128,0.1,50,False,True,Adam,6e-05,0.5116822429906542,443.03709959983826
DF,data,L2,128,128,0.2,50,False,True,Adam,6e-05,0.5116822429906542,401.6511387825012
DF,data,L2,128,128,0.1,50,False,True,Adagrad,0.01,0.5116822429906542,436.1975553035736
DF,data,L2,128,128,0.1,50,False,True,Adagrad,0.001,0.4883177570093458,441.08533811569214
DF,data,L2,128,128,0.2,50,False,True,Adagrad,0.01,0.780373831775701,372.19149374961853
DF,data,L2,128,128,0.2,50,False,True,Adagrad,0.001,0.4883177570093458,372.3511815071106
DF,data,L2,128,128,0.1,50,False,True,RMSprop,0.1,0.4883177570093458,64.11296200752258
DF,data,L2,128,128,0.1,50,False,True,RMSprop,0.01,0.5116822429906542,105.87121248245239
DF,data,L2,128,128,0.2,50,False,True,RMSprop,0.1,0.4883177570093458,256.1949460506439
DF,data,L2,128,128,0.2,50,False,True,RMSprop,0.01,0.5116822429906542,88.17857241630554
DF,data,L2,128,128,0.1,50,False,True,SGD,0.1,0.5070093457943925,166.14983582496643
DF,data,L2,128,128,0.1,50,False,True,SGD,0.01,0.5116822429906542,35.44616150856018
DF,data,L2,128,128,0.2,50,False,True,SGD,0.1,0.5116822429906542,40.51525402069092
DF,data,L2,128,128,0.2,50,False,True,SGD,0.01,0.5093457943925234,153.85486721992493
DF,data,L1,128,256,0.1,50,False,True,Adam,6e-05,0.8130841121495327,234.7448012828827
DF,data,L1,128,256,0.2,50,False,True,Adam,6e-05,0.7663551401869159,182.292249917984
DF,data,L1,128,256,0.1,50,False,True,Adagrad,0.01,0.7967289719626168,256.94385623931885
DF,data,L1,128,256,0.1,50,False,True,Adagrad,0.001,0.7780373831775701,417.01301860809326
